2025-04-10 15-24-18	INFO	handler/user.go:51	User registered successfully	{"userID": "15feede1-a124-4cfe-a1d5-3e3f71695ed3", "email": "user2@example.com"}
2025-04-10 15-24-18	INFO	repository/user.go:56	User authentication successful	{"userID": "dc6445bf-0d3a-4f7d-a402-b8f56b491506", "email": "user@example.com"}
2025-04-10 15-24-18	INFO	handler/user.go:72	Login successful	{"email": "user@example.com"}
2025-04-10 15-24-18	INFO	repository/user.go:56	User authentication successful	{"userID": "15feede1-a124-4cfe-a1d5-3e3f71695ed3", "email": "user2@example.com"}
2025-04-10 15-24-18	INFO	handler/user.go:72	Login successful	{"email": "user2@example.com"}
2025-04-10 15-24-18	INFO	jwt/jwt.go:46	Token verified	{"userId": "15feede1-a124-4cfe-a1d5-3e3f71695ed3", "role": "moderator"}
2025-04-10 15-24-18	INFO	handler/pvz.go:21	Creating new PVZ	{"request": {"City":"Москва"}}
2025-04-10 15-24-18	INFO	service/pvz.go:21	Calling repository to create PVZ	{"city": "Москва"}
2025-04-10 15-24-18	INFO	repository/pvz.go:29	Inserting new PVZ into database	{"city": "Москва"}
2025-04-10 15-24-18	INFO	repository/pvz.go:37	Successfully inserted PVZ	{"pvz": {"Id":"f632a49e-f5b8-40ee-a421-923ff4da0dec","RegistrationDate":"2025-04-10T12:24:18.941746Z","City":"Москва"}}
2025-04-10 15-24-18	INFO	service/pvz.go:29	Service successfully created PVZ	{"pvz": {"Id":"f632a49e-f5b8-40ee-a421-923ff4da0dec","RegistrationDate":"2025-04-10T12:24:18.941746Z","City":"Москва"}}
2025-04-10 15-24-18	INFO	handler/pvz.go:34	Successfully created PVZ	{"pvz": {"Id":"f632a49e-f5b8-40ee-a421-923ff4da0dec","RegistrationDate":"2025-04-10 12:24:18","City":"Москва"}}
2025-04-10 15-24-18	WARN	jwt/jwt.go:41	Access forbidden	{"requiredRole": "moderator", "claims": {"exp":1744374258,"iat":1744287858,"UserId":"dc6445bf-0d3a-4f7d-a402-b8f56b491506","Role":"employee"}}
2025-04-10 15-24-18	INFO	jwt/jwt.go:46	Token verified	{"userId": "dc6445bf-0d3a-4f7d-a402-b8f56b491506", "role": "employee"}
2025-04-10 15-24-18	INFO	service/reception.go:21	Calling repo to create reception	{"receptionId": "f632a49e-f5b8-40ee-a421-923ff4da0dec"}
2025-04-10 15-24-18	INFO	repository/reception.go:28	Creating new reception	{"pvzId": "f632a49e-f5b8-40ee-a421-923ff4da0dec"}
2025-04-10 15-24-18	INFO	repository/reception.go:42	Successfully created reception	{"receptionId": "cd4835ce-92e8-47e1-ad95-0a32140e79db"}
2025-04-10 15-24-18	INFO	service/reception.go:29	Successfully created reception	{"receptionId": "cd4835ce-92e8-47e1-ad95-0a32140e79db"}
2025-04-10 15-24-18	INFO	handler/reception.go:31	Reception created successfully	{"receptionId": "cd4835ce-92e8-47e1-ad95-0a32140e79db", "pvzId": "f632a49e-f5b8-40ee-a421-923ff4da0dec"}
2025-04-10 15-24-18	INFO	jwt/jwt.go:46	Token verified	{"userId": "dc6445bf-0d3a-4f7d-a402-b8f56b491506", "role": "employee"}
2025-04-10 15-24-18	INFO	service/reception.go:21	Calling repo to create reception	{"receptionId": "f632a49e-f5b8-40ee-a421-923ff4da0dec"}
2025-04-10 15-24-18	INFO	repository/reception.go:28	Creating new reception	{"pvzId": "f632a49e-f5b8-40ee-a421-923ff4da0dec"}
2025-04-10 15-24-18	INFO	repository/reception.go:42	Successfully created reception	{"receptionId": "1fbd4e1c-7b1d-497b-9b1c-97ed5b6f1bef"}
2025-04-10 15-24-18	INFO	service/reception.go:29	Successfully created reception	{"receptionId": "1fbd4e1c-7b1d-497b-9b1c-97ed5b6f1bef"}
